"Indicator","Facility Type","Total No. of Facilities #","Facilities reporting nil performance - Numbers*","Details of Maximum and Minimum Performing facilities - Performance","Details of Maximum and Minimum Performing facilities - Value Reported","Details of Maximum and Minimum Performing facilities - Sub-district","Details of Maximum and Minimum Performing facilities - Facility"
Deliveries conducted at facility,DH,2,1,Maximum,272,Bahadrabad,CR Women Govt Hospital
Deliveries conducted at facility,DH,2,1,Minimum,272,Bahadrabad,CR Women Govt Hospital
Deliveries conducted at facility,SDH,2,1,Maximum,185,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
Deliveries conducted at facility,SDH,2,1,Minimum,185,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
Deliveries conducted at facility,CHC,6,0,Maximum,135,Narsan,"CHC,Manglore"
Deliveries conducted at facility,CHC,6,0,Minimum,15,Khanpur,"CHC,Khanpur"
Deliveries conducted at facility,PHC,40,35,Maximum,46,Bahadrabad,Jawalapur APHC
Deliveries conducted at facility,PHC,40,35,Minimum,4,Roorkee,Belda APHC
Deliveries conducted at facility,SC,160,155,Maximum,8,Bahadrabad,Sohalpur
Deliveries conducted at facility,SC,160,155,Minimum,1,Khanpur,Gordhanpur
C -Section deliveries at facility,DH,2,1,Maximum,11,Bahadrabad,CR Women Govt Hospital
C -Section deliveries at facility,DH,2,1,Minimum,11,Bahadrabad,CR Women Govt Hospital
C -Section deliveries at facility,SDH,2,1,Maximum,4,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
C -Section deliveries at facility,SDH,2,1,Minimum,4,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
IPD Attendance,DH,2,0,Maximum,604,Bahadrabad,CR Women Govt Hospital
IPD Attendance,DH,2,0,Minimum,364,Bahadrabad,HMG Hospital Hardwar
IPD Attendance,SDH,2,0,Maximum,710,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
IPD Attendance,SDH,2,0,Minimum,5,Bahadrabad,Govt Mela Hospital Hardwar
IPD Attendance,CHC,6,0,Maximum,171,Bhagwanpur,"CHC,Bhagwanpur"
IPD Attendance,CHC,6,0,Minimum,30,Khanpur,"CHC,Khanpur"
IPD Attendance,PHC,40,31,Maximum,46,Bahadrabad,Jawalapur APHC
IPD Attendance,PHC,40,31,Minimum,1,Bahadrabad,Jwalapur I
IPD Attendance,PHC,40,31,Minimum,1,Roorkee,Nanheda APHC
OPD attendance (All),DH,2,0,Maximum,8305,Bahadrabad,HMG Hospital Hardwar
OPD attendance (All),DH,2,0,Minimum,4186,Bahadrabad,CR Women Govt Hospital
OPD attendance (All),SDH,2,0,Maximum,7931,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
OPD attendance (All),SDH,2,0,Minimum,3786,Bahadrabad,Govt Mela Hospital Hardwar
OPD attendance (All),CHC,6,0,Maximum,2736,Laksar,"CHC,Laksar"
OPD attendance (All),CHC,6,0,Minimum,432,Khanpur,"CHC,Khanpur"
OPD attendance (All),PHC,40,0,Maximum,2130,Bahadrabad,Jawalapur APHC
OPD attendance (All),PHC,40,0,Minimum,76,Bahadrabad,"APHC,Aurangabad"
OPD attendance (All),SC,160,9,Maximum,550,Laksar,Jaitpur
OPD attendance (All),SC,160,9,Minimum,4,Narsan,Nijaampur
Operation major (General and spinal anaesthesia),DH,2,0,Maximum,29,Bahadrabad,HMG Hospital Hardwar
Operation major (General and spinal anaesthesia),DH,2,0,Minimum,11,Bahadrabad,CR Women Govt Hospital
Operation major (General and spinal anaesthesia),SDH,2,1,Maximum,27,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
Operation major (General and spinal anaesthesia),SDH,2,1,Minimum,27,Roorkee,"JNSM Govt.Combined Hospital,Roorkee"
Operation minor (No or local anaesthesia),DH,2,0,Maximum,24,Bahadrabad,CR Women Govt Hospital
Operation minor (No or local anaesthesia),DH,2,0,Minimum,21,Bahadrabad,HMG Hospital Hardwar
Operation minor (No or local anaesthesia),SDH,2,1,Maximum,79,Bahadrabad,Govt Mela Hospital Hardwar
Operation minor (No or local anaesthesia),SDH,2,1,Minimum,79,Bahadrabad,Govt Mela Hospital Hardwar
Operation minor (No or local anaesthesia),CHC,6,4,Maximum,43,Laksar,"CHC,Laksar"
Operation minor (No or local anaesthesia),CHC,6,4,Minimum,23,Bahadrabad,"CHC,Bahadrabad"
