"Indicator","Facility Type","Total No. of Facilities #","Facilities reporting nil performance - Numbers*","Details of Maximum and Minimum Performing facilities - Performance","Details of Maximum and Minimum Performing facilities - Value Reported","Details of Maximum and Minimum Performing facilities - Sub-district","Details of Maximum and Minimum Performing facilities - Facility"
Deliveries conducted at facility,DH,2,1,Maximum,67,Bhimtal,B.D.Pandey Female Hospital
Deliveries conducted at facility,DH,2,1,Minimum,67,Bhimtal,B.D.Pandey Female Hospital
Deliveries conducted at facility,SDH,4,1,Maximum,440,Haldwani,Female Hospital Haldwani
Deliveries conducted at facility,SDH,4,1,Minimum,1,Bhimtal,G.B.Pant Hospital Nainital
Deliveries conducted at facility,CHC,8,2,Maximum,62,Betalghat,Garampani
Deliveries conducted at facility,CHC,8,2,Minimum,4,Betalghat,Betalghat
Deliveries conducted at facility,PHC,19,15,Maximum,30,Haldwani,PHC Motahaldu
Deliveries conducted at facility,PHC,19,15,Minimum,4,Ramnagar,Bailparav
Deliveries conducted at facility,SC,137,135,Maximum,7,Ramnagar,Maldhan Chaur
Deliveries conducted at facility,SC,137,135,Minimum,1,Ramnagar,Paatkot
C -Section deliveries at facility,DH,2,1,Maximum,13,Bhimtal,B.D.Pandey Female Hospital
C -Section deliveries at facility,DH,2,1,Minimum,13,Bhimtal,B.D.Pandey Female Hospital
C -Section deliveries at facility,SDH,4,2,Maximum,90,Haldwani,Female Hospital Haldwani
C -Section deliveries at facility,SDH,4,2,Minimum,26,Ramnagar,Combined Hospital Ramnagar
IPD Attendance,DH,2,1,Maximum,181,Bhimtal,B.D.Pandey Female Hospital
IPD Attendance,DH,2,1,Minimum,181,Bhimtal,B.D.Pandey Female Hospital
IPD Attendance,SDH,4,0,Maximum,1181,Haldwani,Female Hospital Haldwani
IPD Attendance,SDH,4,0,Minimum,35,Bhimtal,G.B.Pant Hospital Nainital
IPD Attendance,CHC,8,0,Maximum,106,Betalghat,Garampani
IPD Attendance,CHC,8,0,Minimum,8,Bhimtal,Bhowali
IPD Attendance,PHC,19,16,Maximum,54,Okhalkanda,Okhalkanda
IPD Attendance,PHC,19,16,Minimum,4,Ramnagar,PHC Kaniya
OPD attendance (All),DH,2,1,Maximum,3693,Bhimtal,B.D.Pandey Female Hospital
OPD attendance (All),DH,2,1,Minimum,3693,Bhimtal,B.D.Pandey Female Hospital
OPD attendance (All),SDH,4,0,Maximum,36682,Haldwani,Base Hospital Haldwani
OPD attendance (All),SDH,4,0,Minimum,771,Bhimtal,G.B.Pant Hospital Nainital
OPD attendance (All),CHC,8,0,Maximum,3851,Kotabhag,Kotabhag
OPD attendance (All),CHC,8,0,Minimum,559,Ramgarh,Ramgarh CHC
OPD attendance (All),PHC,19,0,Maximum,2978,Haldwani,PHC Lalkuan
OPD attendance (All),PHC,19,0,Minimum,42,Betalghat,PHC Uchakot
OPD attendance (All),SC,137,47,Maximum,577,Haldwani,Pandey Newar
OPD attendance (All),SC,137,47,Minimum,2,Betalghat,Tallisethi
OPD attendance (All),SC,137,47,Minimum,2,Okhalkanda,Bhidapani
Operation major (General and spinal anaesthesia),DH,2,1,Maximum,22,Bhimtal,B.D.Pandey Female Hospital
Operation major (General and spinal anaesthesia),DH,2,1,Minimum,22,Bhimtal,B.D.Pandey Female Hospital
Operation major (General and spinal anaesthesia),SDH,4,0,Maximum,357,Haldwani,Base Hospital Haldwani
Operation major (General and spinal anaesthesia),SDH,4,0,Minimum,10,Bhimtal,G.B.Pant Hospital Nainital
Operation major (General and spinal anaesthesia),CHC,8,7,Maximum,2,Betalghat,Garampani
Operation major (General and spinal anaesthesia),CHC,8,7,Minimum,2,Betalghat,Garampani
Operation minor (No or local anaesthesia),DH,2,1,Maximum,54,Bhimtal,B.D.Pandey Female Hospital
Operation minor (No or local anaesthesia),DH,2,1,Minimum,54,Bhimtal,B.D.Pandey Female Hospital
Operation minor (No or local anaesthesia),SDH,4,0,Maximum,151,Haldwani,Base Hospital Haldwani
Operation minor (No or local anaesthesia),SDH,4,0,Minimum,27,Bhimtal,G.B.Pant Hospital Nainital
Operation minor (No or local anaesthesia),CHC,8,7,Maximum,5,Betalghat,Garampani
Operation minor (No or local anaesthesia),CHC,8,7,Minimum,5,Betalghat,Garampani
