"Indicator","Facility Type","Total No. of Facilities #","Facilities reporting nil performance - Numbers*","Details of Maximum and Minimum Performing facilities - Performance","Details of Maximum and Minimum Performing facilities - Value Reported","Details of Maximum and Minimum Performing facilities - Sub-district","Details of Maximum and Minimum Performing facilities - Facility"
Deliveries conducted at facility,DH,2,1,Maximum,61,Bhimtal,B.D.Pandey Female Hospital
Deliveries conducted at facility,DH,2,1,Minimum,61,Bhimtal,B.D.Pandey Female Hospital
Deliveries conducted at facility,SDH,4,1,Maximum,291,Haldwani,Female Hospital Haldwani
Deliveries conducted at facility,SDH,4,1,Minimum,2,Bhimtal,G.B.Pant Hospital Nainital
Deliveries conducted at facility,CHC,8,1,Maximum,33,Betalghat,Garampani
Deliveries conducted at facility,CHC,8,1,Minimum,1,Ramgarh,Suyalbari CHC
Deliveries conducted at facility,PHC,19,15,Maximum,41,Haldwani,PHC Motahaldu
Deliveries conducted at facility,PHC,19,15,Minimum,3,Ramnagar,Bailparav
Deliveries conducted at facility,SC,137,134,Maximum,19,Ramnagar,Maldhan Chaur
Deliveries conducted at facility,SC,137,134,Minimum,1,Haldwani,Daulatpur
C -Section deliveries at facility,DH,2,1,Maximum,13,Bhimtal,B.D.Pandey Female Hospital
C -Section deliveries at facility,DH,2,1,Minimum,13,Bhimtal,B.D.Pandey Female Hospital
C -Section deliveries at facility,SDH,4,1,Maximum,77,Haldwani,Female Hospital Haldwani
C -Section deliveries at facility,SDH,4,1,Minimum,1,Bhimtal,G.B.Pant Hospital Nainital
IPD Attendance,DH,2,0,Maximum,558,Bhimtal,B.D.Pandey Male Hospital
IPD Attendance,DH,2,0,Minimum,188,Bhimtal,B.D.Pandey Female Hospital
IPD Attendance,SDH,4,0,Maximum,1166,Haldwani,Base Hospital Haldwani
IPD Attendance,SDH,4,0,Minimum,43,Bhimtal,G.B.Pant Hospital Nainital
IPD Attendance,CHC,8,0,Maximum,140,Bhimtal,Bhimtal CHC
IPD Attendance,CHC,8,0,Minimum,14,Bhimtal,Bhowali
IPD Attendance,PHC,19,16,Maximum,30,Okhalkanda,Okhalkanda
IPD Attendance,PHC,19,16,Minimum,2,Ramnagar,PHC Kaniya
OPD attendance (All),DH,2,1,Maximum,15018,Bhimtal,B.D.Pandey Male Hospital
OPD attendance (All),DH,2,1,Minimum,15018,Bhimtal,B.D.Pandey Male Hospital
OPD attendance (All),SDH,4,0,Maximum,39805,Haldwani,Base Hospital Haldwani
OPD attendance (All),SDH,4,0,Minimum,786,Bhimtal,G.B.Pant Hospital Nainital
OPD attendance (All),CHC,8,0,Maximum,3241,Kotabhag,Kotabhag
OPD attendance (All),CHC,8,0,Minimum,518,Ramgarh,Ramgarh CHC
OPD attendance (All),PHC,19,4,Maximum,2128,Haldwani,PHC Lalkuan
OPD attendance (All),PHC,19,4,Minimum,71,Betalghat,PHC Uchakot
OPD attendance (All),SC,137,51,Maximum,386,Haldwani,Lohariyasaal
OPD attendance (All),SC,137,51,Minimum,2,Betalghat,Malli Sethi
Operation major (General and spinal anaesthesia),DH,2,0,Maximum,23,Bhimtal,B.D.Pandey Male Hospital
Operation major (General and spinal anaesthesia),DH,2,0,Minimum,20,Bhimtal,B.D.Pandey Female Hospital
Operation major (General and spinal anaesthesia),SDH,4,0,Maximum,184,Haldwani,Base Hospital Haldwani
Operation major (General and spinal anaesthesia),SDH,4,0,Minimum,10,Bhimtal,G.B.Pant Hospital Nainital
Operation major (General and spinal anaesthesia),CHC,8,7,Maximum,1,Betalghat,Garampani
Operation major (General and spinal anaesthesia),CHC,8,7,Minimum,1,Betalghat,Garampani
Operation minor (No or local anaesthesia),DH,2,0,Maximum,68,Bhimtal,B.D.Pandey Female Hospital
Operation minor (No or local anaesthesia),DH,2,0,Minimum,24,Bhimtal,B.D.Pandey Male Hospital
Operation minor (No or local anaesthesia),SDH,4,0,Maximum,634,Haldwani,Base Hospital Haldwani
Operation minor (No or local anaesthesia),SDH,4,0,Minimum,48,Bhimtal,G.B.Pant Hospital Nainital
Operation minor (No or local anaesthesia),CHC,8,7,Maximum,64,Betalghat,Garampani
Operation minor (No or local anaesthesia),CHC,8,7,Minimum,64,Betalghat,Garampani
