"Indicator","Facility Type","Total No. of Facilities #","Facilities reporting nil performance - Numbers*","Details of Maximum and Minimum Performing facilities - Performance","Details of Maximum and Minimum Performing facilities - Value Reported","Details of Maximum and Minimum Performing facilities - Sub-district","Details of Maximum and Minimum Performing facilities - Facility"
Deliveries conducted at facility,DH,2,1,Maximum,59,Bhimtal,B.D.Pandey Female Hospital
Deliveries conducted at facility,DH,2,1,Minimum,59,Bhimtal,B.D.Pandey Female Hospital
Deliveries conducted at facility,SDH,4,2,Maximum,400,Haldwani,Female Hospital Haldwani
Deliveries conducted at facility,SDH,4,2,Minimum,83,Ramnagar,Combined Hospital Ramnagar
Deliveries conducted at facility,CHC,8,0,Maximum,42,Betalghat,Garampani
Deliveries conducted at facility,CHC,8,0,Minimum,1,Bhimtal,Bhowali
Deliveries conducted at facility,PHC,19,15,Maximum,36,Haldwani,PHC Motahaldu
Deliveries conducted at facility,PHC,19,15,Minimum,4,Ramnagar,Bailparav
Deliveries conducted at facility,SC,137,135,Maximum,11,Ramnagar,Maldhan Chaur
Deliveries conducted at facility,SC,137,135,Minimum,1,Haldwani,Daulatpur
C -Section deliveries at facility,DH,2,1,Maximum,20,Bhimtal,B.D.Pandey Female Hospital
C -Section deliveries at facility,DH,2,1,Minimum,20,Bhimtal,B.D.Pandey Female Hospital
C -Section deliveries at facility,SDH,4,3,Maximum,86,Haldwani,Female Hospital Haldwani
C -Section deliveries at facility,SDH,4,3,Minimum,86,Haldwani,Female Hospital Haldwani
IPD Attendance,DH,2,0,Maximum,385,Bhimtal,B.D.Pandey Male Hospital
IPD Attendance,DH,2,0,Minimum,183,Bhimtal,B.D.Pandey Female Hospital
IPD Attendance,SDH,4,0,Maximum,1173,Haldwani,Base Hospital Haldwani
IPD Attendance,SDH,4,0,Minimum,19,Bhimtal,G.B.Pant Hospital Nainital
IPD Attendance,CHC,8,0,Maximum,105,Betalghat,Garampani
IPD Attendance,CHC,8,0,Minimum,10,Bhimtal,Bhowali
IPD Attendance,PHC,19,16,Maximum,31,Okhalkanda,Okhalkanda
IPD Attendance,PHC,19,16,Minimum,2,Ramnagar,Bailparav
OPD attendance (All),DH,2,0,Maximum,10753,Bhimtal,B.D.Pandey Male Hospital
OPD attendance (All),DH,2,0,Minimum,3189,Bhimtal,B.D.Pandey Female Hospital
OPD attendance (All),SDH,4,0,Maximum,37638,Haldwani,Base Hospital Haldwani
OPD attendance (All),SDH,4,0,Minimum,577,Bhimtal,G.B.Pant Hospital Nainital
OPD attendance (All),CHC,8,0,Maximum,3553,Kotabhag,Kotabhag
OPD attendance (All),CHC,8,0,Minimum,384,Ramgarh,Ramgarh CHC
OPD attendance (All),PHC,19,0,Maximum,2785,Haldwani,PHC Lalkuan
OPD attendance (All),PHC,19,0,Minimum,41,Betalghat,PHC Uchakot
OPD attendance (All),SC,137,50,Maximum,319,Haldwani,Pandey Newar
OPD attendance (All),SC,137,50,Minimum,2,Kotabhag,Amgarhi
Operation major (General and spinal anaesthesia),DH,2,0,Maximum,23,Bhimtal,B.D.Pandey Female Hospital
Operation major (General and spinal anaesthesia),DH,2,0,Minimum,7,Bhimtal,B.D.Pandey Male Hospital
Operation major (General and spinal anaesthesia),SDH,4,0,Maximum,343,Haldwani,Base Hospital Haldwani
Operation major (General and spinal anaesthesia),SDH,4,0,Minimum,4,Ramnagar,Combined Hospital Ramnagar
Operation minor (No or local anaesthesia),DH,2,0,Maximum,50,Bhimtal,B.D.Pandey Male Hospital
Operation minor (No or local anaesthesia),DH,2,0,Minimum,43,Bhimtal,B.D.Pandey Female Hospital
Operation minor (No or local anaesthesia),SDH,4,0,Maximum,355,Haldwani,Base Hospital Haldwani
Operation minor (No or local anaesthesia),SDH,4,0,Minimum,6,Bhimtal,G.B.Pant Hospital Nainital
Operation minor (No or local anaesthesia),CHC,8,7,Maximum,14,Betalghat,Garampani
Operation minor (No or local anaesthesia),CHC,8,7,Minimum,14,Betalghat,Garampani
